,단속장소,X,Y,단속건수
210,서울특별시 양천구 목4동목동중앙본로7길 37-3,126.866714,37.5392619,18
211,서울특별시 양천구 신정동 양천중앙하이츠아파트,126.862984,37.506173,19
212,서울특별시 양천구 신정동 서부식자재마트,126.86714,37.5099169,243
213,서울특별시 양천구 신정동 준기사식당,126.865151,37.5089956,15
214,서울특별시 양천구 목목동성원아파트,126.869316,37.5263806,151
215,서울특별시 양천구 목동 벽산미라지타워,126.879482,37.535888,57
216,서울특별시 양천구 신월동 삼익로얄타운,126.826584,37.5376326,32
217,서울특별시 양천구 신월동 신화중학교,126.82961,37.540331,23
218,서울특별시 양천구 신월동 송원전기,126.832028,37.5366584,18
219,서울특별시 양천구 신월동 대근아트빌,126.828542,37.5371579,52
220,서울특별시 양천구 목동 914,126.879219,37.530707,33
221,서울특별시 양천구 신정동 육쌈냉면,126.853188,37.5186579,40
222,서울특별시 양천구 신월동 146-1,126.828908,37.5356538,17
223,서울특별시 양천구 신정 목동힐스테이트,126.854849,37.5198043,451
224,서울특별시 양천구 목동 406-108,126.871908,37.5254825,13
225,서울특별시 양천구 신월동 송죽공원,126.833855,37.5394,141
226,서울특별시 양천구 신월동 머리하는날,126.839924,37.5270018,22
227,서울특별시 양천구 신정 1동중앙로36길 34-1,126.855695,37.5151742,43
228,서울특별시 양천구 목3동 보미진온누리약국 ,126.864092,37.5495302,118
229,서울특별시 양천구 신정 목동13단지아파트,126.864031,37.51504,31
230,서울특별시 양천구 신정 6동목동서로291,126.855695,37.5151742,12
231,서울특별시 양천구 신월동 장수마을동원데자뷰,126.84585,37.5224147,32
232,서울특별시 양천구 신월동 삼종레이빌,126.840536,37.5211101,20
233,서울특별시 양천구 신정동 대정이오스,126.839956,37.5121624,17
234,서울특별시 양천구 신월4동신월로19길 9,126.842925,37.5202934,14
235,서울특별시 양천구 신정동 1323 목동힐스테이트,126.854849,37.5198043,50
236,서울특별시 양천구 목5동목동613동,126.884825,37.534641,16
237,서울특별시 양천구 신월4동주민센타,126.834302,37.5265885,6
238,서울특별시 양천구 신정동 신정중앙로 62,126.858738,37.5267918,24
239,서울특별시 양천구 신정동 신정중앙로 85,126.861362,37.52684,21
240,서울특별시 양천구 신정동 신정중앙로 88,126.861284,37.5264164,22
241,서울특별시 양천구 신정동 신정중앙로 74,126.859824,37.5265949,30
242,서울특별시 양천구 목동 921,126.873624,37.5275747,14
243,서울특별시 양천구 목동 907-1,126.877525,37.535904,8
244,서울특별시 양천구 신월동 88-32,126.834811,37.5371309,15
245,서울특별시 양천구 신정동 324-3,126.861022,37.5154419,29
246,서울특별시 양천구 신정동 164-10,126.867863,37.510107,17
247,서울특별시 양천구 신월1동월정로31길 9,126.834302,37.5265885,57
248,서울특별시 양천구 신월1동곰달래로5길 22-1,126.834302,37.5265885,33
249,서울특별시 양천구 신정동 남부법원,126.863928,37.5221488,27
250,서울특별시 양천구 신정동 신정3동 주민센터,126.854767,37.515128,24
251,서울특별시 양천구 목목동운동장,126.881641,37.5304843,19
252,서울특별시 양천구 신정동 신정유치원,126.833347,37.5135498,30
253,서울특별시 양천구 신월동 개밥하우스,126.826708,37.5376958,21
254,서울특별시 양천구 신정동 오목로 233,126.86323,37.5261304,35
255,서울특별시 양천구 목동 초원성원아파트,126.870867,37.538807,18
256,서울특별시 양천구 신정동 신정중앙로 76,126.859971,37.526577,25
257,서울특별시 양천구 신정 목동부동산,126.863682,37.5264372,24
258,서울특별시 양천구 목동 삼익아파트,126.876348,37.522568,15
259,서울특별시 양천구 신월1동월정로15길 23-1,126.8375917,37.52872448,15
260,서울특별시 양천구 신월동 삼오빌딩,126.8331897,37.53701776,50
261,서울특별시 양천구 목목동e편한세상아파트,126.8716693,37.53927925,24
262,서울특별시 양천구 신월5동남부순환로35길 13,126.8293754,37.53697705,19
263,서울특별시 양천구 신정 1동목동10단지,126.855695,37.5151742,19
264,서울특별시 양천구 신월3동187-11,126.82548,37.5308555,15
265,서울특별시 양천구 신월동 114-4,126.83595,37.5335195,14
266,서울특별시 양천구 신월2동치안센터,126.834302,37.5265885,15
267,서울특별시 양천구 신정동 마스터커피,126.8634367,37.52982672,24
268,서울특별시 양천구 신정동 디즈니,126.8642091,37.51716262,32
269,서울특별시 양천구 신정동 포차천국,126.8615749,37.52794185,75
270,서울특별시 양천구 신월동 금용아파트,126.8423345,37.52090257,13
271,서울특별시 양천구 신월동 우리집식당,126.8329706,37.52231005,22
272,서울특별시 양천구 목2동어바니엘,126.874772,37.54679641,71
273,서울특별시 양천구 신정동 삼익아파트,126.8512865,37.52964492,2
274,서울특별시 양천구 목5동목동아파트127동,126.8791188,37.54107832,34
275,서울특별시 양천구 신월3동서서울예술교육센터,126.834302,37.5265885,26
276,서울특별시 양천구 신정동 만복순대국,126.8632823,37.52812223,15
277,서울특별시 양천구 신정동 행텐,126.8620794,37.52840496,14
278,서울특별시 양천구 신정동 보경석재,126.8584768,37.52827636,13
279,서울특별시 양천구 신정동 노브랜드버거,126.8634243,37.52670331,50
280,서울특별시 양천구 신월동 대호빌라,126.8264515,37.53640662,32
281,서울특별시 양천구 신정 4동목동로25길 6,126.8632904,37.52808523,28
282,서울특별시 양천구 신월동 신안약수아파트,126.8474,37.5171188,24
283,서울특별시 양천구 신정동 목오빌딩,126.8631088,37.52671272,14
284,서울특별시 양천구 신월동 수명산롯데캐슬,126.828413,37.5441675,18
285,서울특별시 양천구 목동 404-3 힘찬병원,126.87683,37.5249652,34
286,서울특별시 양천구 신정 4동신정중앙로43,126.855695,37.5151742,22
287,서울특별시 양천구 신월3동양서중학교,126.834302,37.5265885,17
288,서울특별시 양천구 신정동 313-4,126.864035,37.5192387,45
289,서울특별시 양천구 신월3동남부순환로56길 15,126.834302,37.5265885,22
290,서울특별시 양천구 신정동 326-4,126.8592545,37.51265188,103
291,서울특별시 양천구 신정 7동서부식자재마트,126.855695,37.5151742,14
292,서울특별시 양천구 신월동 217-21,126.836249,37.52633,13
293,서울특별시 양천구 신정동 성은아파트,126.853407,37.5279385,13
294,서울특별시 양천구 신정동 시골촌,126.8617886,37.52687275,22
295,서울특별시 양천구 목동 450-1,126.877252,37.52540448,9
296,서울특별시 양천구 신월동 방주기픈샘아파트,126.8427541,37.5256542,56
297,서울특별시 양천구 신월동 정헤어클럽,126.8397951,37.52514129,26
298,서울특별시 양천구 목동 자연드림,126.8640343,37.53936501,15
299,서울특별시 양천구 신정동 서남병원,126.8331915,37.51261864,43
300,서울특별시 양천구 신정동 양천자원봉사센터 ,126.855695,37.5151742,1
301,서울특별시 양천구 목4동목동중앙남로51-29,126.8646781,37.53838566,22
302,서울특별시 양천구 신월5동월정로38길 4,126.8335556,37.53861672,19
303,서울특별시 양천구 신월동 제4기동단,126.8264297,37.52286648,14
304,서울특별시 양천구 신월동 선빌딩,126.8308981,37.54179425,19
305,서울특별시 양천구 신월동 뉴파인빌,126.8318667,37.54177415,7
306,서울특별시 양천구 신월동 우리활어회,126.839193,37.52821001,13
307,서울특별시 양천구 목동 롯데캐슬,126.8672718,37.54713357,13
308,서울특별시 양천구 신정 목동힐스테이트건너,126.85587,37.52096901,21
309,서울특별시 양천구 신월동 하나은행,126.838012,37.53040985,4
310,서울특별시 양천구 목2동목동중앙북로12길 9,126.8711255,37.54650757,17
311,서울특별시 양천구 신월6동남부순환로83길,126.8418783,37.5169651,32
312,서울특별시 양천구 신정 목동사과,126.8552002,37.51957294,30
313,서울특별시 양천구 목1동목동동로206,126.8692769,37.52717735,15
314,서울특별시 양천구 신정동 동양부로미아파트,126.8457765,37.52400712,29
315,서울특별시 양천구 신월1동남부순환로55길 16,126.8317917,37.53391377,14
316,서울특별시 양천구 신정 7동목동1215동,126.855695,37.5151742,16
