,단속장소,X,Y,단속건수
188,서울특별시 양천구 목목동e편한세상아파트,126.8716693,37.53927925,24
189,서울특별시 양천구 신정동 마스터커피,126.8634367,37.52982672,24
190,서울특별시 양천구 신정동 디즈니,126.8642091,37.51716262,32
191,서울특별시 양천구 신정동 포차천국,126.8615749,37.52794185,75
192,서울특별시 양천구 신월동 우리집식당,126.8329706,37.52231005,22
193,서울특별시 양천구 목2동어바니엘,126.874772,37.54679641,71
194,서울특별시 양천구 목5동목동아파트127동,126.8791188,37.54107832,34
195,서울특별시 양천구 신월3동서서울예술교육센터,126.834302,37.5265885,26
196,서울특별시 양천구 신정동 노브랜드버거,126.8634243,37.52670331,50
197,서울특별시 양천구 신월동 대호빌라,126.8264515,37.53640662,32
198,서울특별시 양천구 신정 4동목동로25길 6,126.8632904,37.52808523,28
199,서울특별시 양천구 신월동 신안약수아파트,126.8474,37.5171188,24
200,서울특별시 양천구 목동 404-3 힘찬병원,126.87683,37.5249652,34
201,서울특별시 양천구 신정 4동신정중앙로43,126.855695,37.5151742,22
202,서울특별시 양천구 신정동 313-4,126.864035,37.5192387,45
203,서울특별시 양천구 신월3동남부순환로56길 15,126.834302,37.5265885,22
204,서울특별시 양천구 신정동 326-4,126.8592545,37.51265188,103
205,서울특별시 양천구 신정동 시골촌,126.8617886,37.52687275,22
206,서울특별시 양천구 신월동 방주기픈샘아파트,126.8427541,37.5256542,56
207,서울특별시 양천구 신월동 정헤어클럽,126.8397951,37.52514129,26
208,서울특별시 양천구 신정동 서남병원,126.8331915,37.51261864,43
209,서울특별시 양천구 목4동목동중앙남로51-29,126.8646781,37.53838566,22
210,서울특별시 양천구 신정 목동힐스테이트건너,126.85587,37.52096901,21
211,서울특별시 양천구 신월6동남부순환로83길,126.8418783,37.5169651,32
212,서울특별시 양천구 신정 목동사과,126.8552002,37.51957294,30
213,서울특별시 양천구 신정동 동양부로미아파트,126.8457765,37.52400712,29
214,서울특별시 양천구 신월동 삼종레이빌아파트,126.8407342,37.5211503,23
215,서울특별시 양천구 신월동 신월보람더하임,126.8371343,37.52480516,44
216,서울특별시 양천구 신월동 신월보람더하임2차아파트,126.8372952,37.52534938,35
217,서울특별시 양천구 신월동 아이파크위브,126.8386742,37.52481136,62
218,서울특별시 양천구 신월동 서울금융고등학교,126.825599,37.5378113,114
219,서울특별시 양천구 신월동 월천리,126.8358699,37.52904536,31
220,서울특별시 양천구 목2동목동중앙북로107,126.8751835,37.54650466,27
221,서울특별시 양천구 신정동 서울영상고등학교,126.8600909,37.52332583,60
222,서울특별시 양천구 신월동 코아루1단지아파트,126.8295224,37.53178129,26
223,서울특별시 양천구 목목동2차성원아파트,126.8641541,37.54228853,62
224,서울특별시 양천구 신월3동신원초교,126.8293552,37.54537221,83
225,서울특별시 양천구 신월동 신월동코아루1단지아파트,126.8296175,37.531854,24
226,서울특별시 양천구 신월동 798,126.8369447,37.53256447,35
227,서울특별시 양천구 신정동 서울양목초등학교,126.8611615,37.52377444,23
228,서울특별시 양천구 목5동 현대파크빌 ,126.880252,37.5358528,159
229,서울특별시 양천구 목 동 924-1,126.8713404,37.52839366,30
230,서울특별시 양천구 신월동 서울금융고,126.8257388,37.5375219,32
231,서울특별시 양천구 신정동 323-1,126.8629928,37.51631785,38
232,서울특별시 양천구 신월동 양천홈타운,126.8481117,37.52604393,21
233,서울특별시 양천구 신정동 1092,126.851925,37.5222874,30
234,서울특별시 양천구 신월동 월천리식당,126.835784,37.52901983,26
235,서울특별시 양천구 신정 4동신정중앙로62,126.855695,37.5151742,30
236,서울특별시 양천구 신정동 313,126.864023,37.5194099,29
237,서울특별시 양천구 신정동 331-2,126.873839,37.514159,63
238,서울특별시 양천구 목동 912,126.881859,37.5351426,63
239,서울특별시 양천구 신월동 천성장로교회,126.8387717,37.52970994,33
240,서울특별시 양천구 신월동 KB국민은행,126.8339301,37.53433533,55
241,서울특별시 양천구 목동 방송회관,126.8713877,37.52709253,101
242,서울특별시 양천구 목2동도심소공원,126.8791913,37.54663932,26
243,서울특별시 양천구 신월동 자연공원,126.8292453,37.52352048,35
244,서울특별시 양천구 신정동 1127,126.8549636,37.52094569,22
245,서울특별시 양천구 신정 목동12단지아파트,126.858366,37.5139881,25
246,서울특별시 양천구 신월동 신월동금용아파트,126.842449,37.5206983,27
247,서울특별시 양천구 목동 901,126.8794469,37.53938865,76
248,서울특별시 양천구 신월3동신원초교 정문,126.834302,37.5265885,33
249,서울특별시 양천구 목 동 901,126.8794147,37.53940566,63
250,서울특별시 양천구 목목동초원성원아파트,126.8708634,37.53898423,112
251,서울특별시 양천구 목 동 901-3,126.872374,37.5374572,44
252,서울특별시 양천구 신정 3동중앙로23길 22,126.855695,37.5151742,27
253,서울특별시 양천구 신월동 273,126.8280149,37.53783654,46
254,서울특별시 양천구 신정동 래미안아델리체,126.85099,37.5201508,160
255,서울특별시 양천구 신정4동 1068,126.8607209,37.52856438,23
256,서울특별시 양천구 신월동 수명산롯데캐슬아파트,126.828413,37.5441675,44
257,서울특별시 양천구 신월3동남부순환로58길,126.834302,37.5265885,46
258,서울특별시 양천구 목 동 901-8,126.881524,37.5397914,24
259,서울특별시 양천구 신월3동신원초등학교,126.834302,37.5265885,33
260,서울특별시 양천구 신정동 311-4,126.856818,37.5190859,46
261,서울특별시 양천구 신월6동남부순환로79길,126.834302,37.5265885,114
262,서울특별시 양천구 신월2동 861,126.841819,37.5242293,28
263,서울특별시 양천구 신월3동남부순환로58길 32,126.834302,37.5265885,21
264,서울특별시 양천구 신월동 서울 양천구 신월동 880,126.847758,37.5244805,27
265,서울특별시 양천구 신월동 서울 양천구 신월동 809,126.832249,37.5290003,40
266,서울특별시 양천구 신정동 서울 양천구 신정동 1225,126.853057,37.5160088,32
267,서울특별시 양천구 신정동 서울 양천구 신정동 1231,126.852846,37.519973,36
268,서울특별시 양천구 신월5동송죽어린이공원,126.829701,37.5449802,23
269,서울특별시 양천구 신월동 이마트 신월점,126.8284635,37.53998272,22
270,서울특별시 양천구 신정 4동신정중앙로60,126.8582838,37.52703017,32
271,서울특별시 양천구 신월동 서울 양천구 신월동 834,126.838817,37.5263606,65
272,서울특별시 양천구 신월동 서울 양천구 신월동 835,126.834983,37.5255443,21
273,서울특별시 양천구 신정동 서울 양천구 신정동 1094,126.862468,37.5221921,33
274,서울특별시 양천구 신월동 서울 양천구 신월동 808,126.831986,37.5303874,29
275,서울특별시 양천구 신월동 서울 양천구 신월동 263,126.828964,37.5358071,54
276,서울특별시 양천구 신정동 서울 양천구 신정동 1093,126.854404,37.5213985,58
277,서울특별시 양천구 신정동 서울 양천구 신정동 1092,126.851925,37.5222874,63
278,서울특별시 양천구 신정동 서울 양천구 신정동 211-12,126.86654,37.5099162,30
279,서울특별시 양천구 신월동 서울 양천구 신월동 258,126.825086,37.5392792,58
280,서울특별시 양천구 신월동 서울 양천구 신월동 863,126.84264,37.5266721,70
281,서울특별시 양천구 신월동 서울 양천구 신월동 896,126.8455876,37.52120762,48
282,서울특별시 양천구 목동 서울 양천구 목동 919-1,126.881378,37.5318265,36
283,서울특별시 양천구 목동 서울 양천구 목동 913-7,126.878934,37.531833,43
284,서울특별시 양천구 목동 서울 양천구 목동 914-2,126.885069,37.5303435,24
285,서울특별시 양천구 신월동 서울 양천구 신월동 630,126.84207,37.5180398,45
286,서울특별시 양천구 신월동 서울 양천구 신월동 216,126.835559,37.5260677,38
287,서울특별시 양천구 신정동 홍익병원 ,126.8636336,37.52860262,123
288,서울특별시 양천구 목동 현대파크빌 ,126.8671648,37.54232325,143
289,서울특별시 양천구 신정 4동신정중앙로61,126.8587163,37.527335,29
290,서울특별시 양천구 신월동 신월3동 우체국 ,126.828695,37.5346534,48
291,서울특별시 양천구 신월1동곰달래로11길 56,126.834302,37.5265885,57
292,서울특별시 양천구 신월동 정성담은 한의원,126.8325487,37.54188485,23
293,서울특별시 양천구 목동 목1동 서가앤쿡 목동점,126.86925,37.52531973,237
294,서울특별시 양천구 목동 보미진온누리약국 ,126.8640815,37.54968571,103
295,서울특별시 양천구 목5동목동5단지,126.8804417,37.5344086,25
296,서울특별시 양천구 목5동목동서로133-4,126.8760509,37.53195574,21
297,서울특별시 양천구 신정동 GS더프레시 양천신은점,126.8330064,37.51289074,21
