,단속일시,단속장소,X,Y
266,2020.1.13 16:32,서울특별시 양천구 목동 KT,우편번호없음,x좌표없음
269,2020.1.14 10:16,서울특별시 양천구 신정동 이마트24,우편번호없음,x좌표없음
270,2020.1.14 10:31,서울특별시 양천구 신월동 동원데자뷰,126.845884,37.5223426
271,2020.1.14 10:32,서울특별시 양천구 신월동 장수마을,126.844495,37.5215209
279,2020.1.14 15:48,서울특별시 양천구 신정 목동휘버스,126.864184,37.5244196
283,2020.1.14 16:01,서울특별시 양천구 신월동 강서경찰서,126.830222,37.5397642
284,2020.1.14 16:06,서울특별시 양천구 신정동 큐브,126.862412,37.5281026
285,2020.1.14 16:10,서울특별시 양천구 신정동 델리레스토,126.863682,37.5264192
287,2020.1.14 16:26,서울특별시 양천구 신정동 현대자동차,우편번호없음,x좌표없음
288,2020.1.14 16:44,서울특별시 양천구 신월동 귀족,126.857097,37.5270511
290,2020.1.14 20:08,서울특별시 양천구 목동 우리은행,126.874868,37.5282878
292,2020.1.14 20:24,서울특별시 양천구 목동 진도아파트,126.868562,37.5244246
294,2020.1.14 20:35,서울특별시 양천구 목4동목동중앙본로7길 37-3,126.866714,37.5392619
296,2020.1.15 10:26,서울특별시 양천구 신정동 서부식자재마트,126.86714,37.5099169
297,2020.1.15 10:26,서울특별시 양천구 신정동 준기사식당,126.865151,37.5089956
298,2020.1.15 10:47,서울특별시 양천구 목목동성원아파트,126.869316,37.5263806
299,2020.1.15 15:35,서울특별시 양천구 신정동 스타벅스,우편번호없음,x좌표없음
303,2020.1.15 16:19,서울특별시 양천구 신월동 송원전기,126.832028,37.5366584
307,2020.1.15 17:03,서울특별시 양천구 신정동 육쌈냉면,126.853188,37.5186579
308,2020.1.15 17:38,서울특별시 양천구 신월동 146-1,126.828908,37.5356538
314,2020.1.16 15:56,서울특별시 양천구 신월동 이마트24,우편번호없음,x좌표없음
316,2020.1.16 16:42,서울특별시 양천구 신월동 송죽공원,126.833855,37.5394
318,2020.1.16 17:10,서울특별시 양천구 신월동 머리하는날,126.839924,37.5270018
319,2020.1.16 17:16,서울특별시 양천구 신정 1동중앙로36길 34-1,126.855695,37.5151742
320,2020.1.16 17:50,서울특별시 양천구 목3동 보미진온누리약국 ,126.864092,37.5495302
330,2020.1.17 16:23,서울특별시 양천구 신월동 삼종레이빌,126.840536,37.5211101
334,2020.1.17 16:46,서울특별시 양천구 신정동 대정이오스,126.839956,37.5121624
335,2020.1.17 18:36,서울특별시 양천구 신월4동신월로19길 9,126.842925,37.5202934
337,2020.1.18 7:13,서울특별시 양천구 목5동목동613동,126.884825,37.534641
353,2020.1.20 10:12,서울특별시 양천구 신정동 남부법원,126.863928,37.5221488
355,2020.1.20 10:57,서울특별시 양천구 목목동운동장,126.881641,37.5304843
357,2020.1.20 16:28,서울특별시 양천구 신월동 개밥하우스,126.826708,37.5376958
361,2020.1.20 17:12,서울특별시 양천구 신월동 장모님본가,우편번호없음,x좌표없음
365,2020.1.21 16:11,서울특별시 양천구 신정 목동부동산,126.863682,37.5264372
370,2020.1.21 21:46,서울특별시 양천구 신월1동월정로15길 23-1,126.8375917,37.52872448
372,2020.1.22 16:13,서울특별시 양천구 신월동 삼오빌딩,126.8331897,37.53701776
374,2020.1.22 16:22,서울특별시 양천구 목목동e편한세상아파트,126.8716693,37.53927925
376,2020.1.22 16:46,서울특별시 양천구 목동 셀프빨래방,우편번호없음,x좌표없음
378,2020.1.22 17:21,서울특별시 양천구 신정동 온누리약국,우편번호없음,x좌표없음
379,2020.1.22 23:38,서울특별시 양천구 신월5동남부순환로35길 13,126.8293754,37.53697705
385,2020.1.27 21:05,서울특별시 양천구 목1동KT,우편번호없음,x좌표없음
386,2020.1.28 16:16,서울특별시 양천구 신정동 마스터커피,126.8634367,37.52982672
387,2020.1.28 16:18,서울특별시 양천구 신정동 디즈니,126.8642091,37.51716262
388,2020.1.28 16:19,서울특별시 양천구 신정동 포차천국,126.8615749,37.52794185
389,2020.1.28 16:25,서울특별시 양천구 신월동 금용아파트,126.8423345,37.52090257
391,2020.1.28 16:49,서울특별시 양천구 신월동 우리집식당,126.8329706,37.52231005
392,2020.1.28 19:26,서울특별시 양천구 목2동어바니엘,126.874772,37.54679641
393,2020.1.28 20:44,서울특별시 양천구 신정동 삼익아파트,126.8512865,37.52964492
394,2020.1.28 20:49,서울특별시 양천구 목5동목동아파트127동,126.8791188,37.54107832
396,2020.1.29 10:52,서울특별시 양천구 신정동 만복순대국,126.8632823,37.52812223
397,2020.1.29 11:04,서울특별시 양천구 신정동 행텐,126.8620794,37.52840496
398,2020.1.29 11:07,서울특별시 양천구 신정동 보경석재,126.8584768,37.52827636
399,2020.1.29 16:11,서울특별시 양천구 신정동 노브랜드버거,126.8634243,37.52670331
400,2020.1.29 16:30,서울특별시 양천구 신월동 대호빌라,126.8264515,37.53640662
401,2020.1.29 19:50,서울특별시 양천구 신정 4동목동로25길 6,126.8632904,37.52808523
404,2020.1.30 16:08,서울특별시 양천구 신정동 목오빌딩,126.8631088,37.52671272
408,2020.1.30 22:42,서울특별시 양천구 신정동 1323-2,우편번호없음,x좌표없음
420,2020.2.2 8:09,서울특별시 양천구 신정동 326-4,126.8592545,37.51265188
426,2020.2.3 16:20,서울특별시 양천구 신정동 시골촌,126.8617886,37.52687275
427,2020.2.3 16:21,서울특별시 양천구 목동 450-1,126.877252,37.52540448
429,2020.2.3 16:31,서울특별시 양천구 신월동 방주기픈샘아파트,126.8427541,37.5256542
430,2020.2.3 16:33,서울특별시 양천구 신월동 정헤어클럽,126.8397951,37.52514129
431,2020.2.3 16:57,서울특별시 양천구 목동 자연드림,126.8640343,37.53936501
432,2020.2.3 17:04,서울특별시 양천구 신정동 서남병원,126.8331915,37.51261864
433,2020.2.4 8:42,서울특별시 양천구 목4동목동중앙남로51-29,126.8646781,37.53838566
434,2020.2.4 15:53,서울특별시 양천구 신월5동월정로38길 4,126.8335556,37.53861672
436,2020.2.5 10:39,서울특별시 양천구 목동 CU,우편번호없음,x좌표없음
437,2020.2.5 10:56,서울특별시 양천구 신월동 제4기동단,126.8264297,37.52286648
438,2020.2.5 16:13,서울특별시 양천구 신월동 선빌딩,126.8308981,37.54179425
439,2020.2.5 16:14,서울특별시 양천구 신월동 뉴파인빌,126.8318667,37.54177415
440,2020.2.5 16:48,서울특별시 양천구 신월동 우리활어회,126.839193,37.52821001
441,2020.2.6 10:35,서울특별시 양천구 목동 롯데캐슬,126.8672718,37.54713357
442,2020.2.6 14:03,서울특별시 양천구 신월3동서서울호수공원,우편번호없음,x좌표없음
443,2020.2.6 15:46,서울특별시 양천구 신정 목동힐스테이트건너,126.85587,37.52096901
444,2020.2.6 16:35,서울특별시 양천구 신월동 하나은행,126.838012,37.53040985
445,2020.2.6 20:08,서울특별시 양천구 목2동목동중앙북로12길 9,126.8711255,37.54650757
447,2020.2.7 15:08,서울특별시 양천구 신월6동남부순환로83길,126.8418783,37.5169651
448,2020.2.7 15:33,서울특별시 양천구 신정동 월드게임랜드,우편번호없음,x좌표없음
449,2020.2.7 15:34,서울특별시 양천구 신정 목동사과,126.8552002,37.51957294
450,2020.2.7 15:56,서울특별시 양천구 목1동목동동로206,126.8692769,37.52717735
452,2020.2.7 16:29,서울특별시 양천구 신정동 동양부로미아파트,126.8457765,37.52400712
454,2020.2.7 18:44,서울특별시 양천구 신월1동남부순환로55길 16,126.8317917,37.53391377
